date,state,customers_elec,price_elec,revenue_elec,sales_elec
2001-03,MI,,6.98,591.1693,8468.3561
2001-03,MS,,5.93,188.24877,3172.76842
2001-03,RI,,11.71,74.47426,635.92137
2001-03,PA,,7.75,890.75261,11491.10293
2001-03,OR,,5.15,219.5184,4261.74649
2001-03,OK,,6.27,217.16149,3464.19955
2001-03,OH,,6.29,847.94726,13478.08025
2001-03,ND,,5.22,44.20077,846.94603
2001-03,NC,,6.44,592.44248,9195.66857
2001-03,NY,,11.01,1298.68107,11790.13848
2001-03,NM,,6.91,101.54268,1468.64775
2001-03,NJ,,8.97,523.90183,5840.65561
2001-03,NH,,11.53,100.92186,875.04431
2001-03,NV,,7.46,146.0327,1957.7433
2001-03,NE,,5.08,96.59129,1902.61849
2001-03,MT,,6.64,65.86107,991.82704
2001-03,MO,,5.47,309.50471,5657.21603
2001-03,FL,,7.51,1080.46756,14382.78158
2001-03,DC,,6.33,58.5044,924.84423
2001-03,DE,,6.31,60.90191,965.76469
2001-03,CT,,9.38,241.76304,2577.05373
2001-04,SC,,5.59,319.42545,5716.36519
2001-04,NV,,7.61,162.72269,2137.30092
2001-04,MD,,6.19,280.92942,4536.79034
2001-04,ME,,9.41,93.58959,994.10415
2001-04,LA,,7.75,423.87761,5468.60055
2001-04,KY,,4.01,257.73438,6429.94829
2001-04,KS,,6.02,155.55178,2584.93667
2001-04,IA,,6.02,180.50446,2996.92879
2001-04,IN,,5.14,385.88096,7506.75366
2001-04,AK,,10.59,46.82643,442.19678
2001-04,AL,,5.72,347.18634,6064.53539
2001-04,CT,,9.61,215.06662,2238.10342
2001-04,CO,,5.91,193.15849,3266.12375
2001-04,CA,,9.88,1862.13954,18855.59986
2001-04,AR,,6.04,179.5986,2973.53436
2001-04,IL,,6.61,635.57088,9619.05588
2001-04,ID,,4.38,68.70763,1566.89333
2001-04,HI,,13.91,107.58155,773.36126
2001-04,GA,,6.19,537.89397,8689.87928
2001-04,NE,,4.97,89.83558,1806.56837
2001-04,MT,,7.15,64.2468,898.78944
2001-04,MO,,5.43,293.03367,5401.29012
2001-04,MS,,6.15,198.58285,3227.76922
2001-04,MN,,5.7,253.33039,4444.99106
2001-04,MI,,6.73,520.91281,7739.96261
2001-04,MA,,11.52,453.05578,3931.21075
2001-04,DC,,6.27,50.63702,807.52502
2001-04,DE,,6.31,55.3045,876.89992
2001-04,FL,,7.87,1152.31433,14641.45178
2001-04,WY,,4.26,45.10077,1058.05787
2001-04,WI,,6.02,294.74725,4893.6931
2001-04,WV,,5.0,112.42523,2249.49921
2001-04,WA,,5.4,364.18796,6746.81955
2001-04,AZ,,6.87,287.67634,4184.61427
2001-04,RI,,12.69,66.53551,524.21758
2001-04,PA,,7.87,823.5097,10469.35599
2001-04,OR,,5.27,200.70284,3809.47979
2001-04,OK,,5.97,209.09346,3500.60726
2001-04,OH,,6.47,770.53548,11905.45683
2001-04,ND,,5.34,40.34696,756.09231
2001-04,NC,,6.38,584.36671,9156.13281
2001-04,NY,,10.7,1178.4547,11015.86386
2001-04,NM,,7.06,96.09928,1361.10782
2001-04,NJ,,9.18,494.70188,5387.16979
2001-04,NH,,11.75,93.09297,792.41891
2001-04,VA,,6.05,433.06268,7153.24248
2001-04,VT,,10.42,44.61706,428.20555
2001-04,UT,,5.39,89.16701,1655.35048
2001-04,TX,,7.04,1592.69612,22635.01066
2001-04,TN,,5.51,408.92528,7420.05872
2001-04,SD,,6.23,40.56778,651.01042
2001-05,IA,,6.33,195.56666,3089.96384
2001-05,AK,,10.55,43.88737,415.90066
2001-05,AL,,5.6,359.09236,6413.9653
2001-05,IN,,5.27,401.72992,7620.148
2001-05,IL,,6.88,737.15295,10710.9487
2001-05,ID,,5.12,86.66099,1691.96127
2001-05,HI,,13.88,113.6402,818.55501
2001-05,GA,,6.23,586.62881,9421.91702
2001-05,FL,,7.87,1184.20522,15042.69494
2001-05,DC,,7.54,61.80657,819.69814
2001-05,DE,,6.74,54.81333,813.37981
2001-05,CT,,9.57,226.2195,2363.02347
2001-05,CO,,6.2,213.74169,3445.89435
2001-05,CA,,9.82,1949.72255,19862.25747
2001-05,AR,,6.16,189.39388,3076.88704
2001-05,AZ,,7.86,403.40898,5131.87593
2001-05,TN,,5.55,405.48327,7310.91587
2001-05,SD,,6.49,41.03569,632.57974
2001-05,SC,,5.45,318.69335,5845.0282
2001-05,RI,,11.72,70.24939,599.25678
