date,state,trips_pop_at_home,trips_pop_not_at_home,trips_n_total,trips_n_lt_1,trips_n_1_3,trips_n_3_5,trips_n_5_10,trips_n_10_25,trips_n_25_50,Number of Trips 50-100,trips_n_100_250,trips_n_250_500,trips_n_gt_500
2019-01,AK,12779.487623762376,43335.62747524752,195349.1683168317,56727.66212871287,54300.79084158416,26106.951732673268,27385.96905940594,18719.023514851484,7427.622524752475,2966.1138613861385,653.9108910891089,436.56435643564356,624.559405940594
2019-01,AL,24038.318785578747,119728.1370967742,461590.18785578746,101699.67077798862,115535.27134724858,61846.828273244784,75008.93548387097,70049.6375711575,23617.865275142314,8763.882352941177,3938.653700189753,882.2760910815939,247.16698292220113
2019-01,AR,13480.121392190153,65762.24702886248,253272.3624787776,56329.15874363328,67042.97877758913,33113.7156196944,39780.524617996605,36019.56281833616,12949.98726655348,5077.320882852292,2211.5,568.3794567062819,179.23429541595925
2019-01,AZ,172193.6693548387,729584.0181451613,2967188.834677419,765280.8306451613,715521.4153225806,354983.3064516129,447580.7862903226,466307.5282258064,141232.70967741936,39408.68951612903,25748.435483870966,6180.3387096774195,4944.794354838709
2019-01,CA,259324.47895024603,1078783.300710771,4675074.303991252,1303369.6981957355,1203421.160196829,547421.5024603609,656141.5975943138,621728.779661017,227929.34281027885,77797.00710770913,25271.34718425369,6099.1995626025155,5894.669218151996
2019-01,CO,37789.31205673759,141801.04812563324,714222.5491388044,176940.5937183384,183662.8125633232,87879.91540020263,110741.97467071936,106305.90729483282,29564.0116514691,12196.547112462005,4208.002532928065,1078.6251266464033,1644.159067882472
2019-01,CT,154903.43369175628,636989.0107526882,2663738.6738351253,639975.7204301076,697208.0501792114,332168.40860215056,392407.1899641577,395260.0215053763,137924.83870967742,47661.885304659496,13204.752688172042,2698.4086021505377,5229.397849462365
2019-01,DC,204143.93548387097,498884.56451612903,3521580.2258064514,1433345.2580645161,952751.0,437337.3548387097,419622.1935483871,208471.35483870967,44818.1935483871,9334.483870967742,7246.322580645161,3399.7741935483873,5254.290322580645
2019-01,DE,90582.64516129032,393911.8548387097,1535972.6451612904,354070.72580645164,377073.8870967742,192588.16129032258,250895.85483870967,229489.16129032258,88311.2741935484,29782.483870967742,11574.532258064517,1303.9354838709678,882.6290322580645
2019-01,FL,107235.34819734345,520881.6959203036,2031278.15085389,540897.1565464896,513869.34345351043,258884.55977229602,315803.1442125237,276187.3462998102,81700.9734345351,25838.001897533206,12829.143263757116,2902.807400379507,2365.6745730550283
2019-01,GA,23468.104032258063,108436.55846774194,416541.61935483874,95599.47419354839,102421.56008064515,52103.313306451615,66860.97782258065,63477.51733870968,23658.95322580645,7035.484274193548,3709.869758064516,1078.1467741935485,596.3225806451613
2019-01,HI,110769.76774193549,455617.4322580645,1957762.8064516129,604497.670967742,520285.94838709675,219485.78064516129,260704.78064516129,303093.9741935484,34429.84516129032,7680.61935483871,3704.574193548387,1249.9483870967742,2629.664516129032
2019-01,IA,12316.283225806452,50699.38677419355,220200.29483870967,52163.11483870968,59259.11870967742,26272.569677419357,30829.9664516129,30795.336774193547,12606.709032258064,4811.636129032258,2498.6735483870966,629.4264516129032,333.7432258064516
2019-01,ID,14873.703225806452,63702.11899641577,250955.79211469533,60343.57849462365,68530.30394265233,32583.06810035842,36966.205017921144,32130.88458781362,11651.6229390681,4806.845878136201,2641.0193548387097,837.6530465949821,464.61075268817206
2019-01,IL,51826.4321954275,194522.63576573756,919553.1412464767,244385.54024428438,235395.73128719072,109968.67209520827,133072.9746320075,129869.43313498277,46135.96429689947,11404.87817099906,6290.050109614783,1787.3629815220795,1242.5342937676166
2019-01,IN,27741.559486645856,116383.65556711759,494537.376344086,121272.2608394034,127226.51127297954,62565.24245577523,74756.93721817552,70893.68158168574,23984.30315643427,8127.79327089837,4246.71383975026,930.1852237252862,533.7474852584114
2019-01,KS,10851.082775410834,44016.0398660986,200103.57212416313,49616.39500912964,53894.80523432745,23801.337188070604,28543.527693244065,27661.364576993306,10080.139987827146,3790.007303712721,1958.197200243457,485.18624467437616,272.611685940353
2019-01,KY,14368.418555051987,59370.54838709677,263981.58517728606,59286.39349506798,67309.51906158357,35087.259397494,41913.22527326046,38676.91975473207,13593.563316448946,4967.50146627566,2431.5339909357504,526.3145827779259,189.3548387096774
2019-01,LA,25520.935980148883,117471.75632754342,547095.9642679901,139924.0734491315,139404.93101736973,70138.3205955335,86720.43275434243,71413.13151364765,24611.20794044665,10138.594540942928,3599.647642679901,767.487841191067,378.13697270471465
2019-01,MA,197234.8559139785,721002.2107526881,3703278.511827957,962197.5612903226,971735.1526881721,456001.6817204301,537371.5139784947,531121.2602150538,177047.5483870968,45091.77634408602,13925.156989247313,2787.7763440860217,5999.083870967742
