state,value,date
NY,5.833333333333333,2022-06-01
NY,6.348275862068966,2020-07-01
NY,4.56206896551724,2021-07-01
NY,6.193548387096774,2022-07-01
NY,5.569999999999999,2020-08-01
NY,4.332258064516129,2021-08-01
NY,4.72258064516129,2022-08-01
NY,3.56,2020-09-01
NY,3.2482758620689656,2021-09-01
NY,2.8233333333333333,2022-09-01
NY,2.143478260869565,2020-10-01
NY,1.976,2021-10-01
NY,2.2333333333333334,2022-10-01
