date,state,consumption-for-eg,consumption-for-eg-btu,consumption-uto,consumption-uto-btu,generation,total-consumption,total-consumption-btu
2001-02,TX,,254.821,,31.833,25626.521,,286.647
2001-02,TN,,78.843,,6.04,7453.653,,84.887
2001-02,WI,,51.13,,5.719,4593.527,,56.849
2001-02,SC,,71.237,,2.044,6638.018,,73.28
2001-03,WV,,69.468,,1.639,7040.685,,71.107
2001-03,IA,,39.609,,3.391,3576.369,,43.0
2001-03,HI,,9.273,,0.877,873.314,,10.153
2001-03,MO,,62.685,,0.556,5891.09,,63.243
2001-03,ND,,30.547,,0.317,2690.409,,30.866
2001-03,KY,,84.497,,0.031,8201.581,,84.528
2001-03,NJ,,51.719,,3.082,4946.76,,54.822
2001-03,NV,,31.016,,0.262,3040.196,,31.281
2001-03,WI,,52.565,,5.992,4755.366,,58.552
2001-03,RI,,4.871,,0.199,589.502,,5.071
2001-03,NY,,124.983,,5.924,12114.668,,130.907
2001-03,WA,,79.73,,4.007,7775.825,,83.738
2001-03,MD,,37.642,,0.625,3597.128,,38.263
2001-03,WY,,44.24,,0.711,4093.37,,44.949
2001-03,ID,,6.17,,2.452,595.208,,8.621
2001-03,SD,,6.399,,0.0,601.32,,6.399
2001-03,AL,,102.73,,10.839,9364.445,,113.57
2001-03,MI,,103.271,,4.219,9681.003,,107.49
2001-03,MS,,39.423,,2.473,3642.72,,41.893
2001-03,NM,,27.245,,0.427,2617.299,,27.67
2001-03,AZ,,77.725,,0.355,7325.9,,78.078
2001-03,DC,,0.0,,0.0,0.0,,0.0
2001-03,AR,,32.864,,3.385,3125.261,,36.245
2001-03,DE,,8.132,,1.186,866.773,,9.318
2001-03,OR,,40.379,,1.162,4208.538,,41.539
2001-03,CT,,24.428,,0.708,2386.253,,25.133
2001-03,NH,,10.62,,0.259,958.477,,10.879
2001-03,VT,,4.999,,0.008,471.65,,5.007
2001-03,AK,,7.047,,0.619,587.115,,7.668
2001-03,UT,,27.046,,0.216,2435.341,,27.264
2001-03,TX,,271.807,,35.333,27580.339,,307.14
2001-03,OK,,40.312,,2.536,3807.719,,42.845
2001-03,MA,,35.646,,1.73,3596.645,,37.894
2001-03,PA,,171.514,,5.408,16841.128,,177.343
2001-03,NE,,24.027,,0.089,2249.603,,24.116
2001-03,MN,,39.319,,3.708,3662.516,,43.027
2001-03,FL,,142.638,,9.116,14114.923,,151.756
2001-03,NC,,93.629,,6.388,9303.299,,100.022
2001-03,TN,,85.387,,6.145,8193.004,,91.532
2001-03,SC,,79.794,,1.832,7385.446,,81.63
2001-03,OH,,121.289,,4.648,12107.819,,125.94
2001-03,CO,,41.448,,1.28,3841.54,,42.728
2001-03,CA,,175.137,,15.675,15848.633,,190.811
2001-03,MT,,20.176,,0.953,1920.857,,21.129
2001-03,GA,,102.951,,11.628,9844.453,,114.584
2001-03,VA,,71.174,,7.445,6358.233,,78.62
2001-03,ME,,14.074,,8.254,1503.442,,22.331
2001-03,IN,,102.597,,6.681,9950.72,,109.279
2001-03,KS,,36.87,,0.149,3339.534,,37.02
2001-03,LA,,65.114,,18.822,6320.906,,83.935
2001-03,IL,,159.881,,4.345,14882.22,,164.226
2001-04,NY,,112.241,,4.838,10733.68,,117.081
2001-04,LA,,71.709,,17.039,6926.936,,88.749
2001-04,IN,,89.754,,6.684,8633.796,,96.439
2001-04,ND,,26.216,,0.296,2314.33,,26.512
2001-04,MD,,34.21,,0.574,3309.853,,34.783
2001-04,RI,,3.91,,0.141,450.8,,4.054
2001-04,CT,,24.213,,0.723,2280.079,,24.938
2001-04,VA,,68.611,,6.785,6108.458,,75.393
2001-04,NV,,22.85,,0.278,2040.506,,23.128
2001-04,IA,,32.069,,2.906,2916.301,,34.976
2001-04,CA,,172.953,,16.079,15841.018,,189.027
2001-04,AR,,36.134,,3.246,3349.774,,39.375
2001-04,MS,,37.175,,2.955,3559.358,,40.124
2001-04,TN,,86.62,,6.209,8078.386,,92.83
2001-04,SD,,4.935,,0.0,446.861,,4.935
2001-04,WI,,50.725,,5.502,4564.247,,56.225
2001-04,UT,,27.237,,0.223,2677.52,,27.457
2001-04,IL,,144.124,,4.268,13320.173,,148.387
2001-04,MN,,38.742,,3.69,3666.583,,42.432
2001-04,GA,,94.232,,11.991,9245.326,,106.23
2001-04,NE,,22.172,,0.103,2084.25,,22.272
2001-04,MA,,24.691,,1.298,2404.166,,26.563
2001-04,KY,,73.858,,0.029,7125.446,,73.887
2001-04,MO,,53.801,,0.526,5096.669,,54.328
2001-04,WA,,65.988,,4.105,6416.576,,70.094
2001-04,MI,,88.662,,3.872,8255.739,,92.539
2001-04,NC,,92.811,,6.38,9075.057,,99.183
2001-04,WV,,64.117,,1.681,6327.911,,65.797
2001-04,OR,,36.909,,1.141,3784.434,,38.051
2001-04,OK,,37.969,,2.05,3611.899,,40.018
2001-04,FL,,148.514,,8.737,14808.706,,157.249
2001-04,KS,,35.696,,0.141,3246.097,,35.838
2001-04,NJ,,42.383,,2.624,4012.599,,45.014
2001-04,NH,,15.348,,0.36,1420.718,,15.71
2001-04,ME,,12.38,,6.592,1297.956,,18.973
2001-04,CO,,38.483,,1.108,3692.812,,39.585
2001-04,OH,,112.995,,2.909,11177.301,,115.906
2001-04,VT,,4.964,,0.007,467.178,,4.971
2001-04,WY,,36.892,,0.781,3459.181,,37.673
2001-04,AL,,80.991,,11.05,7714.348,,92.043
2001-04,AK,,5.599,,0.308,488.698,,5.905
2001-04,ID,,6.419,,2.381,621.878,,8.798
2001-04,SC,,70.175,,2.4,6371.638,,72.572
2001-04,NM,,22.447,,0.402,2319.587,,22.849
2001-04,PA,,150.968,,4.435,14727.884,,155.817
2001-04,HI,,8.77,,0.868,835.878,,9.639
2001-04,TX,,273.295,,31.244,27486.315,,304.538
2001-04,AZ,,74.998,,0.301,7159.997,,75.298
2001-04,MT,,16.288,,0.789,1546.183,,17.077
2001-04,DC,,0.015,,0.0,0.766,,0.015
2001-04,DE,,5.819,,0.915,577.017,,6.733
2001-05,AK,,5.515,,0.306,484.687,,5.819
2001-05,MA,,24.681,,1.136,2426.249,,26.44
2001-05,TX,,319.457,,32.822,31583.459,,352.281
2001-05,IN,,97.385,,5.616,9487.708,,102.998
2001-05,KS,,39.1,,0.154,3757.797,,39.256
2001-05,DC,,0.095,,0.0,5.921,,0.095
2001-05,AR,,39.633,,1.359,3690.531,,40.99
2001-05,SC,,78.926,,2.368,7188.933,,81.293
2001-05,NH,,13.833,,0.321,1263.395,,14.153
2001-05,LA,,76.692,,16.552,7624.188,,93.244
2001-05,OR,,38.38,,0.661,3927.825,,39.042
2001-05,ND,,26.224,,0.308,2328.039,,26.532
2001-05,OK,,46.147,,2.591,4345.641,,48.738
2001-05,DE,,5.645,,0.91,574.414,,6.555
2001-05,GA,,104.669,,10.57,9949.454,,115.238
2001-05,OH,,111.568,,4.349,10691.804,,115.918
2001-05,NY,,116.749,,4.886,11131.989,,121.634
2001-05,VT,,2.709,,0.007,254.425,,2.716
2001-05,MD,,37.629,,0.613,3631.295,,38.243
2001-05,SD,,4.344,,0.0,401.979,,4.344
2001-05,UT,,31.526,,0.249,3050.121,,31.775
2001-05,WY,,37.412,,0.85,3436.696,,38.264
2001-05,KY,,77.048,,0.03,7482.535,,77.078
2001-05,CO,,43.304,,1.125,3975.396,,44.427
2001-05,WA,,65.039,,3.838,6287.775,,68.873
2001-05,CA,,179.698,,17.072,16874.504,,196.762
2001-05,FL,,162.049,,8.408,15817.681,,170.458
2001-05,NM,,32.838,,0.399,3129.075,,33.237
2001-05,IA,,32.905,,3.113,2875.51,,36.018
2001-05,AZ,,83.188,,0.284,7965.507,,83.472
2001-05,RI,,5.487,,0.137,658.275,,5.623
2001-05,ID,,9.945,,1.992,970.543,,11.935
2001-05,MS,,40.962,,2.752,3970.7,,43.716
2001-05,HI,,9.402,,0.717,885.862,,10.121
2001-05,MN,,36.994,,3.511,3413.87,,40.508
2001-05,NJ,,43.66,,2.585,4159.906,,46.246
2001-05,NC,,97.581,,6.047,9535.155,,103.626
2001-05,ME,,15.406,,6.998,1632.885,,22.41
2001-05,PA,,163.761,,4.676,15648.293,,168.76
2001-05,NV,,30.4,,0.271,2805.571,,30.671
2001-05,TN,,87.949,,6.334,8066.658,,94.282
2001-05,MI,,99.434,,3.834,9301.148,,103.271
2001-05,MT,,18.618,,0.757,1886.942,,19.375
2001-05,NE,,26.668,,0.14,2496.56,,26.808
2001-05,WV,,67.0,,2.346,6730.022,,69.346
2001-05,VA,,64.027,,6.785,5592.002,,70.813
2001-05,CT,,24.867,,0.779,2356.271,,25.647
2001-05,WI,,50.88,,4.687,4611.303,,55.562
2001-05,MO,,56.914,,0.558,5471.746,,57.471
2001-05,IL,,158.143,,3.919,14604.71,,162.069
2001-05,AL,,103.983,,9.101,10048.668,,113.086
2001-06,AZ,,84.15,,0.331,8174.259,,84.481
2001-06,AL,,115.042,,11.109,11170.299,,126.153
2001-06,WI,,54.196,,5.113,4887.862,,59.313
2001-06,NE,,28.306,,0.142,2668.618,,28.449
2001-06,SD,,6.24,,0.0,596.945,,6.24
2001-06,SC,,91.666,,2.571,8243.32,,94.24
2001-06,CA,,195.876,,16.969,18071.777,,212.858
2001-06,AK,,5.839,,0.253,488.004,,6.089
2001-06,NM,,31.996,,0.398,3052.78,,32.393
2001-06,MO,,71.267,,0.523,6801.956,,71.792
2001-06,CT,,27.841,,0.825,2660.789,,28.666
2001-06,DC,,0.221,,0.0,0.488,,0.221
2001-06,KY,,88.414,,0.031,8466.026,,88.445
2001-06,HI,,9.346,,0.69,873.879,,10.036
2001-06,UT,,30.09,,0.225,2949.914,,30.316
2001-06,LA,,78.552,,16.957,7787.179,,95.507
2001-06,ND,,25.159,,0.328,2243.066,,25.487
2001-06,VA,,75.312,,7.455,6500.503,,82.767
2001-06,MA,,32.457,,1.322,3299.909,,34.454
2001-06,RI,,5.16,,0.158,620.77,,5.322
2001-06,ID,,8.811,,2.152,860.574,,10.964
