state,value,date
AL,3.936559139784946,2018-01-01
AL,6.502150537634408,2019-01-01
AL,13.539285714285715,2018-02-01
AL,12.298809523809524,2019-02-01
AL,12.101075268817205,2018-03-01
AL,11.73010752688172,2019-03-01
AL,14.918888888888889,2018-04-01
AL,17.45111111111111,2019-04-01
AL,22.975268817204302,2018-05-01
AL,22.81505376344086,2019-05-01
AL,25.563333333333333,2018-06-01
AL,24.491111111111113,2019-06-01
AL,26.066666666666666,2018-07-01
AL,26.116129032258065,2019-07-01
AL,25.503225806451614,2018-08-01
AL,26.120430107526882,2019-08-01
AL,25.227777777777774,2018-09-01
AL,26.188888888888886,2019-09-01
AL,18.553763440860212,2018-10-01
AL,18.629032258064516,2019-10-01
AL,8.996666666666666,2018-11-01
AL,9.526666666666667,2019-11-01
AL,8.316129032258065,2018-12-01
AL,9.780645161290321,2019-12-01
AZ,4.010752688172043,2018-01-01
AZ,1.5467741935483872,2019-01-01
AZ,6.891129032258065,2020-01-01
AZ,6.712903225806452,2021-01-01
AZ,7.300806451612903,2022-01-01
AZ,3.6505952380952382,2018-02-01
AZ,0.5315476190476189,2019-02-01
AZ,7.692241379310344,2020-02-01
AZ,8.5875,2021-02-01
AZ,7.711011904761905,2022-02-01
AZ,6.813978494623656,2018-03-01
AZ,6.70268817204301,2019-03-01
AZ,10.479569892473119,2020-03-01
AZ,10.860483870967743,2021-03-01
AZ,11.596774193548388,2022-03-01
AZ,13.251666666666667,2018-04-01
AZ,11.517777777777777,2019-04-01
AZ,15.19111111111111,2020-04-01
AZ,16.158333333333335,2021-04-01
AZ,17.39,2022-04-01
AZ,16.97204301075269,2018-05-01
AZ,11.583333333333332,2019-05-01
AZ,22.220967741935485,2020-05-01
AZ,13.316129032258065,2021-05-01
AZ,21.94193548387097,2022-05-01
AZ,23.313333333333333,2018-06-01
AZ,20.491666666666667,2019-06-01
AZ,25.70583333333333,2020-06-01
AZ,19.514814814814812,2021-06-01
AZ,26.010833333333334,2022-06-01
AZ,23.541935483870965,2018-07-01
AZ,23.596774193548388,2019-07-01
AZ,27.644354838709678,2020-07-01
AZ,19.787096774193547,2021-07-01
AZ,26.570967741935487,2022-07-01
AZ,22.424193548387095,2018-08-01
AZ,23.542473118279567,2019-08-01
AZ,28.219086021505376,2020-08-01
AZ,18.85483870967742,2021-08-01
AZ,24.131451612903227,2022-08-01
AZ,19.883333333333333,2018-09-01
AZ,18.816111111111113,2019-09-01
AZ,24.153333333333332,2020-09-01
AZ,16.38,2021-09-01
AZ,23.514166666666664,2022-09-01
AZ,10.463978494623655,2018-10-01
AZ,10.94247311827957,2019-10-01
AZ,19.16559139784946,2020-10-01
AZ,9.46,2021-10-01
AZ,16.11532258064516,2022-10-01
AZ,5.329444444444444,2018-11-01
AZ,6.320555555555556,2019-11-01
AZ,13.328055555555554,2020-11-01
AZ,6.966666666666667,2021-11-01
AZ,8.814444444444444,2022-11-01
AZ,1.913978494623656,2018-12-01
AZ,1.2532258064516129,2019-12-01
AZ,6.526612903225806,2020-12-01
AZ,2.7129032258064516,2021-12-01
AZ,6.922580645161291,2022-12-01
CA,10.344700460829493,2018-01-01
CA,9.534504608294931,2019-01-01
CA,5.348387096774194,2020-01-01
CA,5.14695340501792,2021-01-01
CA,6.449910394265233,2022-01-01
CA,9.359183673469389,2018-02-01
CA,5.947512755102041,2019-02-01
CA,6.595785440613026,2020-02-01
CA,5.464285714285714,2021-02-01
CA,5.772222222222223,2022-02-01
CA,9.880875576036868,2018-03-01
CA,9.741532258064517,2019-03-01
CA,4.371326164874552,2020-03-01
CA,5.01505376344086,2021-03-01
CA,8.212320788530466,2022-03-01
CA,13.033809523809525,2018-04-01
CA,14.00875,2019-04-01
CA,9.076666666666666,2020-04-01
CA,9.308518518518518,2021-04-01
CA,9.88125,2022-04-01
CA,15.17926267281106,2018-05-01
CA,13.37741935483871,2019-05-01
CA,14.23942652329749,2020-05-01
CA,5.651612903225806,2021-05-01
CA,13.14386200716846,2022-05-01
CA,20.18285714285714,2018-06-01
CA,19.636666666666667,2019-06-01
CA,17.399629629629633,2020-06-01
CA,13.41,2021-06-01
CA,18.99074074074074,2022-06-01
CA,24.9184331797235,2018-07-01
CA,22.495967741935484,2019-07-01
CA,21.655555555555555,2020-07-01
CA,17.358064516129033,2021-07-01
CA,22.231182795698924,2022-07-01
CA,22.917511520737328,2018-08-01
CA,23.351209677419355,2019-08-01
CA,22.949820788530467,2020-08-01
CA,14.287096774193548,2021-08-01
CA,22.824596774193548,2022-08-01
CA,20.52809523809524,2018-09-01
CA,20.44,2019-09-01
CA,20.84925925925926,2020-09-01
CA,10.43,2021-09-01
CA,20.352453703703702,2022-09-01
CA,16.51889400921659,2018-10-01
CA,16.95241935483871,2019-10-01
CA,16.43584229390681,2020-10-01
CA,3.7129032258064516,2021-10-01
CA,15.08534946236559,2022-10-01
CA,13.072380952380952,2018-11-01
CA,13.760059523809524,2019-11-01
CA,8.402962962962963,2020-11-01
CA,1.93,2021-11-01
CA,5.32037037037037,2022-11-01
CA,8.323118279569892,2018-12-01
CA,9.899539170506912,2019-12-01
CA,5.8523297491039425,2020-12-01
CA,-2.9838709677419355,2021-12-01
CA,4.127732974910394,2022-12-01
CO,-4.138709677419354,2018-01-01
CO,-6.740322580645161,2019-01-01
CO,-2.8129032258064517,2020-01-01
CO,-3.3752688172043013,2021-01-01
CO,-3.1408602150537632,2022-01-01
CO,-4.508928571428571,2018-02-01
CO,-6.799107142857143,2019-02-01
CO,-4.419540229885057,2020-02-01
CO,-3.8095238095238098,2021-02-01
CO,-5.175,2022-02-01
CO,-0.37016129032258066,2018-03-01
CO,-2.1314516129032257,2019-03-01
CO,2.063440860215054,2020-03-01
CO,-0.3526881720430108,2021-03-01
CO,-0.2129032258064516,2022-03-01
CO,4.0183333333333335,2018-04-01
CO,3.4975,2019-04-01
CO,3.65,2020-04-01
CO,3.051111111111111,2021-04-01
CO,4.54,2022-04-01
CO,9.893548387096773,2018-05-01
CO,4.856451612903226,2019-05-01
CO,10.435483870967742,2020-05-01
CO,6.54516129032258,2021-05-01
CO,8.975268817204302,2022-05-01
CO,15.548333333333334,2018-06-01
CO,11.715,2019-06-01
CO,15.243333333333334,2020-06-01
CO,13.7,2021-06-01
CO,14.973333333333333,2022-06-01
CO,17.036827956989246,2018-07-01
CO,16.179032258064517,2019-07-01
CO,17.216129032258067,2020-07-01
CO,15.180645161290323,2021-07-01
CO,17.33279569892473,2022-07-01
CO,15.271774193548387,2018-08-01
CO,15.825806451612904,2019-08-01
CO,18.11182795698925,2020-08-01
CO,13.274193548387096,2021-08-01
CO,15.780645161290321,2022-08-01
CO,12.775833333333333,2018-09-01
CO,12.470833333333333,2019-09-01
CO,12.037222222222223,2020-09-01
CO,10.370000000000001,2021-09-01
CO,13.818888888888889,2022-09-01
CO,3.745967741935484,2018-10-01
CO,1.7951612903225806,2019-10-01
CO,6.905913978494624,2020-10-01
CO,3.141935483870968,2021-10-01
CO,5.631182795698924,2022-10-01
CO,-3.5208333333333335,2018-11-01
CO,-0.9241666666666667,2019-11-01
CO,1.901111111111111,2020-11-01
CO,0.06333333333333337,2021-11-01
CO,-2.071111111111111,2022-11-01
CO,-6.816129032258065,2018-12-01
CO,-6.411290322580645,2019-12-01
CO,-3.8666666666666663,2020-12-01
CO,-4.348387096774194,2021-12-01
CO,-2.958064516129032,2022-12-01
DE,5.039285714285714,2018-02-01
DE,5.5,2019-03-01
DE,10.143333333333334,2018-04-01
DE,19.62258064516129,2018-05-01
DE,18.674193548387095,2019-05-01
DE,22.506666666666668,2018-06-01
DE,25.348387096774193,2018-07-01
DE,26.57741935483871,2019-07-01
DE,25.541935483870965,2018-08-01
DE,24.703225806451613,2019-08-01
DE,22.50714285714286,2018-09-01
DE,22.243333333333332,2019-09-01
DE,14.696774193548388,2018-10-01
DE,16.18709677419355,2019-10-01
DE,6.296666666666667,2019-11-01
DE,4.22258064516129,2018-12-01
DE,3.761290322580645,2019-12-01
GA,7.967741935483871,2018-01-01
GA,10.8,2019-01-01
GA,17.076785714285716,2018-02-01
GA,15.907142857142857,2019-02-01
GA,14.211290322580645,2018-03-01
GA,15.266129032258064,2019-03-01
GA,18.16,2018-04-01
GA,19.738333333333333,2019-04-01
GA,24.0741935483871,2018-05-01
GA,25.62741935483871,2019-05-01
GA,26.805,2018-06-01
GA,26.66166666666667,2019-06-01
GA,26.791935483870965,2018-07-01
GA,27.17258064516129,2019-07-01
GA,26.625806451612902,2018-08-01
GA,27.15967741935484,2019-08-01
GA,26.660000000000004,2018-09-01
GA,26.7,2019-09-01
GA,21.708064516129035,2018-10-01
GA,22.63064516129032,2019-10-01
GA,14.035,2018-11-01
GA,13.05,2019-11-01
GA,12.303225806451612,2018-12-01
GA,12.92741935483871,2019-12-01
ID,-1.4559907834101382,2018-01-01
ID,-3.6004608294930875,2019-01-01
ID,-1.3797067448680354,2020-01-01
ID,-1.7519061583577713,2021-01-01
ID,-3.349087650700554,2022-01-01
ID,-3.935204081632653,2018-02-01
ID,-5.514795918367347,2019-02-01
ID,-1.6094043887147336,2020-02-01
ID,-3.1623376623376624,2021-02-01
ID,-2.6909415584415584,2022-02-01
ID,-0.22396313364055298,2018-03-01
ID,-0.8986175115207372,2019-03-01
ID,1.9551319648093841,2020-03-01
