state,value,date
AR,3.235,2019-11-01
AR,3.2244444444444444,2020-11-01
AR,3.08,2021-11-01
AR,3.251111111111111,2022-11-01
AR,3.2870967741935484,2019-12-01
AR,3.296774193548387,2020-12-01
AR,3.8215053763440863,2021-12-01
AR,3.589247311827957,2022-12-01
AZ,2.531182795698925,2019-01-01
AZ,2.4451612903225803,2020-01-01
AZ,2.606451612903226,2021-01-01
AZ,2.509677419354839,2022-01-01
AZ,3.8166666666666664,2019-02-01
AZ,3.037931034482759,2020-02-01
AZ,3.0720238095238095,2021-02-01
AZ,3.4714285714285715,2022-02-01
AZ,3.6634408602150534,2019-03-01
AZ,3.68494623655914,2020-03-01
AZ,3.936559139784946,2021-03-01
AZ,3.5612903225806454,2022-03-01
AZ,3.748888888888889,2019-04-01
AZ,3.555555555555556,2020-04-01
AZ,4.058888888888889,2021-04-01
AZ,4.2988888888888885,2022-04-01
AZ,3.7333333333333334,2019-05-01
AZ,3.552688172043011,2020-05-01
AZ,3.935483870967742,2021-05-01
AZ,4.513978494623656,2022-05-01
AZ,3.4766666666666666,2019-06-01
AZ,4.118888888888889,2020-06-01
AZ,3.3888888888888884,2021-06-01
AZ,3.566666666666667,2022-06-01
AZ,3.020430107526882,2019-07-01
AZ,2.9451612903225803,2020-07-01
AZ,2.6311827956989244,2021-07-01
AZ,2.643010752688172,2022-07-01
AZ,2.6258064516129034,2019-08-01
AZ,2.943010752688172,2020-08-01
AZ,2.7086021505376343,2021-08-01
AZ,2.121505376344086,2022-08-01
AZ,3.3855555555555554,2019-09-01
AZ,2.527222222222222,2020-09-01
AZ,2.3755555555555556,2021-09-01
AZ,2.361111111111111,2022-09-01
AZ,3.1053763440860216,2019-10-01
AZ,2.5612903225806454,2020-10-01
AZ,2.9010752688172046,2021-10-01
AZ,2.446236559139785,2022-10-01
AZ,2.5477777777777777,2019-11-01
AZ,2.667777777777778,2020-11-01
AZ,2.1777777777777776,2021-11-01
AZ,3.1505555555555556,2022-11-01
AZ,2.4053763440860214,2019-12-01
AZ,2.679569892473118,2020-12-01
AZ,3.279569892473118,2021-12-01
AZ,2.620430107526882,2022-12-01
CA,2.1870967741935483,2019-01-01
CA,2.883870967741936,2020-01-01
CA,2.4096774193548387,2021-01-01
CA,1.974193548387097,2022-01-01
CA,3.8185185185185184,2019-02-01
CA,2.006896551724138,2020-02-01
CA,2.5285714285714285,2021-02-01
CA,1.9535714285714287,2022-02-01
CA,2.4387096774193546,2019-03-01
CA,2.793548387096774,2020-03-01
CA,2.7903225806451615,2021-03-01
CA,2.225806451612903,2022-03-01
CA,2.6333333333333333,2019-04-01
CA,2.1033333333333335,2020-04-01
CA,2.3066666666666666,2021-04-01
CA,3.3699999999999997,2022-04-01
CA,2.4096774193548387,2019-05-01
CA,2.825806451612903,2020-05-01
CA,2.1548387096774193,2021-05-01
CA,2.76,2022-05-01
CA,2.3833333333333333,2019-06-01
CA,2.55,2020-06-01
CA,2.5689655172413794,2021-06-01
CA,2.8238095238095235,2022-06-01
CA,2.174193548387097,2019-07-01
CA,2.1838709677419357,2020-07-01
CA,2.174193548387097,2021-07-01
CA,1.9387096774193548,2022-07-01
CA,2.109677419354839,2019-08-01
CA,2.061290322580645,2020-08-01
CA,1.893548387096774,2021-08-01
CA,1.7580645161290323,2022-08-01
CA,2.53,2019-09-01
CA,2.0166666666666666,2020-09-01
CA,2.18,2021-09-01
CA,2.0033333333333334,2022-09-01
CA,2.0806451612903225,2019-10-01
CA,1.6032258064516127,2020-10-01
