state,value,date
AL,1.747209279733824,2018-01-01
AL,5.0598757126464,2019-01-01
AL,6.205107251031028,2020-01-01
AL,3.04695407874525,2021-01-01
AL,4.077584591658925,2022-01-01
AL,7.562360688918796,2018-02-01
AL,7.5834263435975595,2019-02-01
AL,9.505834836960783,2020-02-01
AL,4.525712373466133,2021-02-01
AL,5.965935894224551,2022-02-01
AL,3.744848519278912,2018-03-01
AL,3.212985982423865,2019-03-01
AL,5.956544219787004,2020-03-01
AL,8.212338066574059,2021-03-01
AL,6.0720508369610755,2022-03-01
AL,5.594463266202396,2018-04-01
AL,5.923294321662742,2019-04-01
AL,6.489100806198633,2020-04-01
AL,4.068427423961749,2021-04-01
AL,4.348198177426438,2022-04-01
AL,4.302102307279099,2018-05-01
AL,3.17797410192147,2019-05-01
AL,3.8498714048924425,2020-05-01
AL,4.1520481332107515,2021-05-01
AL,4.9640311044729,2022-05-01
AL,5.583624679287151,2018-06-01
AL,4.803869900376766,2019-06-01
AL,4.696550570926658,2020-06-01
AL,8.003269308148566,2021-06-01
AL,2.632779926595144,2022-06-01
AL,3.8173765169649867,2018-07-01
AL,4.055977420613633,2019-07-01
AL,4.726388772517804,2020-07-01
AL,7.472478749487139,2021-07-01
AL,5.54622234871253,2022-07-01
AL,4.722087886031933,2018-08-01
AL,5.080580257115653,2019-08-01
AL,5.095811669404716,2020-08-01
AL,6.750354375249186,2021-08-01
AL,5.533470325373551,2022-08-01
AL,5.984988217338217,2018-09-01
AL,0.3221319296458615,2019-09-01
AL,5.17905441634389,2020-09-01
AL,5.356953475586199,2021-09-01
AL,2.159226504172156,2022-09-01
AL,2.107147187885617,2018-10-01
AL,6.30473600407368,2019-10-01
AL,4.484496988518727,2020-10-01
AL,4.6402171282045055,2021-10-01
AL,2.17466466913171,2022-10-01
AL,5.545203736118953,2018-11-01
AL,3.117306724760958,2019-11-01
AL,2.079457843956296,2020-11-01
AL,1.1342726174791393,2021-11-01
AL,4.831058959156786,2022-11-01
AL,8.234160160804068,2018-12-01
AL,5.939724582249426,2019-12-01
AL,3.53139089818157,2020-12-01
AL,4.368388887876966,2021-12-01
AL,4.387583578191942,2022-12-01
AR,2.016811731746514,2018-01-01
AR,3.8650826022971887,2019-01-01
AR,5.114086804233553,2020-01-01
AR,3.496855487138945,2021-01-01
AR,3.2833775889323675,2022-01-01
AR,10.044341336693234,2018-02-01
AR,6.9041439112674405,2019-02-01
AR,4.307543138148401,2020-02-01
AR,2.3235781864579965,2021-02-01
AR,4.037161864288049,2022-02-01
AR,4.516077467150702,2018-03-01
AR,3.071222406327928,2019-03-01
AR,6.575645652669495,2020-03-01
AR,4.480550907422835,2021-03-01
AR,4.189001849876213,2022-03-01
AR,4.0674714191087755,2018-04-01
AR,5.9482831614101634,2019-04-01
AR,4.94510595242117,2020-04-01
AR,5.540258349100683,2021-04-01
AR,5.605730831690557,2022-04-01
AR,3.927731849107726,2018-05-01
AR,7.8905585691125655,2019-05-01
AR,6.548345586366588,2020-05-01
AR,5.43187436588411,2021-05-01
AR,7.17496291330775,2022-05-01
AR,2.5090685734823412,2018-06-01
AR,5.789488183072965,2019-06-01
AR,3.3853609228935317,2020-06-01
AR,3.463518684495734,2021-06-01
AR,1.9970858338203876,2022-06-01
AR,2.9356961314878567,2018-07-01
AR,4.102715460424693,2019-07-01
AR,3.5386716019777955,2020-07-01
AR,3.6465417088878,2021-07-01
AR,3.200704792390258,2022-07-01
AR,5.677521164566046,2018-08-01
AR,5.04167349155114,2019-08-01
AR,3.830188636527715,2020-08-01
AR,2.083145537565704,2021-08-01
AR,3.7663348592059007,2022-08-01
AR,4.080564555492816,2018-09-01
AR,2.5342723805561334,2019-09-01
AR,3.502099828047197,2020-09-01
AR,1.8500915187909066,2021-09-01
AR,1.37559787726893,2022-09-01
AR,4.10104789390133,2018-10-01
AR,6.869391994933702,2019-10-01
AR,5.291507456324095,2020-10-01
AR,4.965947390482842,2021-10-01
AR,3.3496213285373617,2022-10-01
AR,3.8281971024144936,2018-11-01
AR,5.217456496598296,2019-11-01
AR,1.9895002152944945,2020-11-01
AR,1.7223579149894939,2021-11-01
AR,3.9625873058605596,2022-11-01
AR,5.634833745172123,2018-12-01
AR,1.7731930657000783,2019-12-01
AR,2.6193744474237572,2020-12-01
AR,3.537070372890481,2021-12-01
AR,3.774372585486412,2022-12-01
AZ,0.46082991202346035,2018-01-01
AZ,1.2281643774630717,2019-01-01
AZ,0.42044551404649577,2020-01-01
AZ,1.2796070499548762,2021-01-01
